Section,SOP Class Description,SOP Class UID,Name,Messages
P.3.3,Substance Administration Logging SOP Class,1.2.840.10008.1.42,SUBSTANCE_ADMIN_LOGGING,"N-ACTION-RQ,N-ACTION-RSP"
V.6.2.4,Substance Approval Query Information Model - FIND,1.2.840.10008.5.1.4.42,SUBSTANCE_APPROVAL_QUERY,"C-FIND-RQ,C-FIND-RSP,C-CANCEL-FIND-RQ"
B.5,Surface Scan Mesh Storage,1.2.840.10008.5.1.4.1.1.68.1,SURFACE_SCAN_MESH,"C-STORE-RQ,C-STORE-RSP"
B.5,Surface Scan Point Cloud Storage,1.2.840.10008.5.1.4.1.1.68.2,SURFACE_SCAN_POINT_CLOUD,"C-STORE-RQ,C-STORE-RSP"
B.5,Surface Segmentation Storage,1.2.840.10008.5.1.4.1.1.66.5,SURFACE_SEGMENTATION,"C-STORE-RQ,C-STORE-RSP"
B.5,Tractography Results Storage,1.2.840.10008.5.1.4.1.1.66.6,TRACTOGRAPHY_RESULTS,"C-STORE-RQ,C-STORE-RSP"
CC.2.5.1.3.1,UPS SOP Class UID,1.2.840.10008.5.1.4.34.6.1,UPS_PUSH_SOP,"N-CREATE-RQ,N-CREATE-RSP,N-ACTION-RQ,N-ACTION-RSP"
B.6,Ultrasound Image Storage,1.2.840.10008.5.1.4.1.1.6,STANDARD_US_RETIRED,"C-STORE-RQ,C-STORE-RSP"
B.5,Ultrasound Image Storage,1.2.840.10008.5.1.4.1.1.6.1,STANDARD_US,"C-STORE-RQ,C-STORE-RSP"
B.6,Ultrasound Multi-frame Image Storage,1.2.840.10008.5.1.4.1.1.3,STANDARD_US_MF_RETIRED,"C-STORE-RQ,C-STORE-RSP"
B.5,Ultrasound Multi-frame Image Storage,1.2.840.10008.5.1.4.1.1.3.1,STANDARD_US_MF,"C-STORE-RQ,C-STORE-RSP"
B.5,VL Endoscopic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.1,STANDARD_VL_ENDOSCOPIC,"C-STORE-RQ,C-STORE-RSP"
B.5,VL Microscopic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.2,STANDARD_VL_MICROSCOPIC,"C-STORE-RQ,C-STORE-RSP"
B.5,VL Photographic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.4,STANDARD_VL_PHOTOGRAPHIC,"C-STORE-RQ,C-STORE-RSP"
B.5,VL Slide-Coordinates Microscopic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.3,STANDARD_VL_SLIDE_MICROSCOPIC,"C-STORE-RQ,C-STORE-RSP"
B.5,VL Whole Slide Microscopy Image Storage,1.2.840.10008.5.1.4.1.1.77.1.6,VL_WHOLE_SLIDE_MICROSCOPY_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,Video Endoscopic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.1.1,STANDARD_VIDEO_ENDOSCOPIC,"C-STORE-RQ,C-STORE-RSP"
B.5,Video Microscopic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.2.1,STANDARD_VIDEO_MICROSCOPIC,"C-STORE-RQ,C-STORE-RSP"
B.5,Video Photographic Image Storage,1.2.840.10008.5.1.4.1.1.77.1.4.1,STANDARD_VIDEO_PHOTOGRAPHIC,"C-STORE-RQ,C-STORE-RSP"
B.5,Visual Acuity Measurements Storage,1.2.840.10008.5.1.4.1.1.78.5,VISUAL_ACUITY_MEASUREMENTS,"C-STORE-RQ,C-STORE-RSP"
B.5,Wide Field Ophthalmic Photography 3D Coordinates Image Storage,1.2.840.10008.5.1.4.1.1.77.1.5.6,WIDE_FIELD_OPHTHALMIC_PHOTO_3D_COORDINATES,"C-STORE-RQ,C-STORE-RSP"
B.5,Wide Field Ophthalmic Photography Stereographic Projection Image Storage,1.2.840.10008.5.1.4.1.1.77.1.5.5,WIDE_FIELD_OPHTHALMIC_PHOTO_STEREOGRAPHIC_PROJ,"C-STORE-RQ,C-STORE-RSP"
B.5,X-Ray 3D Angiographic Image Storage,1.2.840.10008.5.1.4.1.1.13.1.1,XRAY_3D_ANGIO_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.5,X-Ray 3D Craniofacial Image Storage,1.2.840.10008.5.1.4.1.1.13.1.2,XRAY_3D_CRANIO_IMAGE,"C-STORE-RQ,C-STORE-RSP"
B.6,X-Ray Angiographic Bi-plane Image Storage,1.2.840.10008.5.1.4.1.1.12.3,STANDARD_XRAY_ANGIO_BIPLANE,"C-STORE-RQ,C-STORE-RSP"
B.5,X-Ray Angiographic Image Storage,1.2.840.10008.5.1.4.1.1.12.1,STANDARD_XRAY_ANGIO,"C-STORE-RQ,C-STORE-RSP"
B.5,X-Ray Radiation Dose SR Storage,1.2.840.10008.5.1.4.1.1.88.67,XRAY_RADATION_DOSE_SR,"C-STORE-RQ,C-STORE-RSP"
B.5,X-Ray Radiofluoroscopic Image Storage,1.2.840.10008.5.1.4.1.1.12.2,STANDARD_XRAY_RF,"C-STORE-RQ,C-STORE-RSP"
B.5,XA/XRF Grayscale Softcopy Presentation State Storage,1.2.840.10008.5.1.4.1.1.11.5,XA_XRF_GRAYSCALE_SOFTCOPY_PS,"C-STORE-RQ,C-STORE-RSP"
